(United_States_09d4,3204.612486508271)
(2006,2796.0652838185856)
(United_Kingdom_5ad7,1487.513161172966)
(2005,1281.8007613008972)
(England,1000.437598465462)
(Canada,989.6193114743596)
(Biography,913.2169743977912)
(2004,889.7716422309325)
(France,884.2155523571515)
(Australia,804.7344503944583)
(Germany,786.1519616388027)
(2003,721.0157866397292)
(Geographic_coordinate_system,713.6600524266756)
(Japan,697.1066378600726)
(India,671.3541124868226)
(2001,568.221494588237)
(2002,566.8017757875492)
(Italy,555.9743645140471)
(2000,535.1754426014584)
(Internet_Movie_Database_7ea7,528.0551883244054)
(World_War_II_d045,523.7653996602379)
(Europe,515.6391112848697)
(London,500.72222244666455)
(Population_density,475.27299376606493)
(1999,472.1101738890182)
(Record_label,464.6717940555987)
(Race_(United_States_Census)_a07d,461.55141201553073)
(English_language,450.81609122436606)
(Russia,436.56179249005294)
(Music_genre,416.90126129580267)
(Spain,416.1433569143757)
(1998,412.7577972575055)
(1997,394.44701151430166)
(Scotland,391.28425421818457)
(New_York_City_1428,386.6601218858656)
(Wikimedia_Commons_7b57,384.34191017218893)
(Wiktionary,383.6404183828445)
(1996,371.85497894351704)
(1995,351.82986164008827)
(Television,346.223242493184)
(California,344.95234053302573)
(Football_(soccer),344.8494814968902)
(Square_mile,341.7981594161907)
(China,337.7157458903183)
(1994,335.56756605921186)
(New_Zealand_2311,335.4804927873165)
(Census,327.2408383402654)
(Netherlands,321.43826813799245)
(Sweden,320.20654766893676)
(1991,315.40229994320043)
(1993,315.27344287028455)
(New_York_3da4,310.02954007040194)
(1990,307.903087328679)
(Scientific_classification,303.7457762547955)
(1992,301.510918550186)
(United_States_Census_Bureau_2c85,296.2341153576935)
(Film,293.4178036038046)
(Actor,292.54922376390357)
(Marriage,285.76564600113153)
(Ireland,283.8823279020422)
(1989,281.1322940713459)
(Population,276.99226316520594)
(1980,273.61493992383345)
(Km²,269.059296911938)
(January_1,265.8504328496264)
(Album,265.1454716813975)
(1986,265.0863475234724)
(Per_capita_income,264.990614413774)
(Record_producer,263.8619754040072)
(Poverty_line,260.44170209155686)
(1982,259.91454309269267)
(Public_domain,259.08928653828985)
(1979,258.6740554302535)
(1981,258.4790050722436)
(1985,257.5839091435699)
(Latin,256.4945072725191)
(1974,255.8965766456316)
(1983,255.47300260596347)
(Norway,253.6979741961356)
(Mexico,252.93686886962323)
(1984,252.86606598884916)
(1987,252.50282563721905)
(South_Africa_1287,249.29107613443028)
(1970,248.1887332772414)
(1988,247.87642375926427)
(1976,245.23637808338006)
(1975,242.6097086616332)
(French_language,242.271974635578)
(Politician,240.65082888668903)
(Poland,239.90806997646195)
(1969,239.71111711835968)
(1972,239.0079736826975)
(1977,237.35921850990684)
(Switzerland,237.03181541948103)
(Brazil,235.8298108357361)
(1978,235.24344588290614)
(Animal,234.71497111370786)
(1945,232.7345011174941)
(1973,231.4079330825087)
(Greece,230.51115628381967)
